1;1;1;A
2;1;1;B
3;1;2;U
4;1;3;A
5;1;3;B
6;1;4;U
7;1;5;A
8;1;5;B
9;1;6;A
10;1;6;B
11;1;7;A
12;1;7;B
13;1;8;U
14;1;9;U
15;1;10;A
16;1;10;B
17;1;11;U
18;1;12;A
19;1;12;B
20;1;13;A
21;1;13;B
22;1;14;U
23;1;15;A
24;1;15;B
25;1;16;U
26;1;17;U
27;1;18;A
28;1;18;B
29;1;19;A
30;1;19;B
31;1;20;A
32;1;20;B
33;1;21;A
34;1;21;B
35;1;22;A
36;1;22;B
37;1;23;A
38;1;23;B
39;1;24;A
40;1;24;B
41;1;25;A
42;1;25;B
43;1;26;A
44;1;26;B
45;1;27;A
46;1;27;B
47;1;28;U
48;1;29;U
49;2;1;U
50;2;2;U
51;2;3;U
52;3;1;A
53;3;1;B
54;3;2;A
55;3;2;B
56;3;3;A
57;3;3;B
58;3;4;U
59;3;5;A
60;3;5;B
61;3;6;A
62;3;6;B
63;3;7;A
64;3;7;B
65;3;8;A
66;3;8;B
67;3;9;A
68;3;9;B
69;3;11;A
70;3;11;B
71;3;12;A
72;3;12;B
73;3;13;A
74;3;13;B
75;3;14;A
76;3;14;B
77;3;15;U
78;3;16;A
79;3;16;B
80;3;17;A
81;3;17;B
82;3;18;A
83;3;18;B
84;3;19;A
85;3;19;B
86;3;20;A
87;3;20;B
88;3;21;A
89;3;21;B
90;3;22;A
91;3;22;B
92;3;22;C
93;3;23;A
94;3;23;B
95;3;24;A
96;3;24;B
97;3;25;U
98;4;1;A
99;4;1;B
100;4;2;A
101;4;2;B
102;4;2;C
103;4;3;U
104;4;4;A
105;4;4;B
106;4;5;A
107;4;5;B
108;4;6;A
109;4;6;B
110;4;7;A
111;4;7;B
112;4;8;A
113;4;8;B
114;4;9;A
115;4;9;B
116;4;10;A
117;4;10;B
118;4;11;A
119;4;11;B
120;4;12;A
121;4;12;B
122;5;1;A
123;5;1;B
124;5;2;A
125;5;2;B
126;5;4;A
127;5;4;B
128;5;4;C
129;5;5;A
130;5;5;B
131;5;6;A
132;5;6;B
133;5;7;A
134;5;7;B
135;5;9;A
136;5;9;B
137;5;10;A
138;5;10;B
139;5;11;U
140;5;12;A
141;5;12;B
142;5;13;A
143;5;13;B
144;5;14;A
145;5;14;B
146;5;15;U
147;5;16;A
148;5;16;B
149;5;17;A
150;5;17;B
151;5;18;U
152;5;19;A
153;5;19;B
154;5;19;C
155;5;20;A
156;5;20;B
157;5;21;A
158;5;21;B
159;5;21;C
160;5;22;A
161;5;22;B
162;6;1;A
163;6;1;B
164;6;2;U
165;6;3;A
166;6;3;B
167;6;4;A
168;6;4;B
169;6;5;A
170;6;5;B
171;6;6;A
172;6;6;B
173;6;7;U
174;6;8;U
175;6;9;A
176;6;9;B
177;6;10;A
